Partial_Postcode,Population2023,LSOA_Code,Postcode,Town,District,County
BS6 5,10788.211478280828,E01014671,BS6 5AE,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014562,BS6 6QB,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014561,BS6 6AT,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014562,BS6 6NW,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014560,BS6 6JB,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014560,BS6 6NG,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014560,BS6 6JA,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014561,BS6 6BJ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014563,BS6 6AF,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014561,BS6 6AY,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014560,BS6 6JG,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014560,BS6 6ND,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014559,BS6 6UX,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014561,BS6 6AH,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014562,BS6 6NP,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014560,BS6 6LZ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014559,BS6 6TT,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014558,BS6 6QR,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014561,BS6 6AA,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014558,BS6 6NE,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014558,BS6 6HE,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014672,BS6 6WB,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014558,BS6 6HZ,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014560,BS6 6LU,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014560,BS6 6LY,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014560,BS6 6RW,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
BS6 6,13016.648897731826,E01014672,BS6 6YU,BRISTOL,CITY OF BRISTOL,CITY OF BRISTOL
